"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"1","VBAT","Power","","","","","","","","","","","","","","","","","",""
"2","PC13","Input","GPIO_Input","","","","","","","","","","","","","","","","",""
"3","PC14-OSC32_IN","Input","GPIO_Input","","","","","","","","","","","","","","","","",""
"4","PC15-OSC32_OUT","Input","GPIO_Input","","","","","","","","","","","","","","","","",""
"5","PF0-OSC_IN","I/O","RCC_OSC_IN","","","","","","I2C2_SDA","","","","","","","","","","",""
"6","PF1-OSC_OUT","I/O","RCC_OSC_OUT","","","","","","I2C2_SCL","","","","","","","","","","",""
"7","NRST","Reset","","","","","","","","","","","","","","","","","",""
"8","VSSA/VREF-","Power","","","","","","","","","","","","","","","","","",""
"9","VDDA/VREF+","Power","","","","","","","","","","","","","","","","","",""
"10","PA0","Output","GPIO_Output","SPI3_SS","","TIM2_CH1/TIM2_ETR","TIM5_CH1/TIM5_ETR","TSC_G1_IO1","","","","USART2_CTS","COMP1_OUT","","","TIM19_CH1","","","","EVENTOUT"
"11","PA1","I/O","SPI3_SCK","","RTC_REFIN","TIM2_CH2","TIM5_CH2","TSC_G1_IO2","","","I2S3_CK/SPI3_SCK","USART2_DE/USART2_RTS","","TIM15_CH1N","","TIM19_CH2","","","","EVENTOUT"
"12","PA2","I/O","SPI3_MISO","","","TIM2_CH3","TIM5_CH3","TSC_G1_IO3","","","I2S3_MCK/SPI3_MISO","USART2_TX","COMP2_OUT","TIM15_CH1","","TIM19_CH3","","","","EVENTOUT"
"13","PA3","I/O","SPI3_MOSI","","","TIM2_CH4","TIM5_CH4","TSC_G1_IO4","","","I2S3_SD/SPI3_MOSI","USART2_RX","","TIM15_CH2","","TIM19_CH4","","","","EVENTOUT"
"14","PA4","I/O","TIM12_CH1","","","","TIM3_CH2","TSC_G2_IO1","","I2S1_WS/SPI1_NSS","I2S3_WS/SPI3_NSS","USART2_CK","","","TIM12_CH1","","","","","EVENTOUT"
"15","PA5","I/O","TIM14_CH1","","","TIM2_CH1/TIM2_ETR","","TSC_G2_IO2","","I2S1_CK/SPI1_SCK","","CEC","","TIM14_CH1","TIM12_CH2","","","","","EVENTOUT"
"16","PA6","I/O","TIM13_CH1","","","TIM16_CH1","TIM3_CH1","TSC_G2_IO3","","I2S1_MCK/SPI1_MISO","","","COMP1_OUT","TIM13_CH1","","","","","","EVENTOUT"
"17","VDD","Power","","","","","","","","","","","","","","","","","",""
"18","PB0","I/O","SDADC1_AIN6P","","","","TIM3_CH3","TSC_G3_IO3","","I2S1_SD/SPI1_MOSI","","","","","TIM3_CH2","","","","","EVENTOUT"
"19","PB1","I/O","SDADC1_AIN5P","","","","TIM3_CH4","TSC_G3_IO4","","","","","","","","","","","","EVENTOUT"
"20","PB2","I/O","SDADC1_AIN4P","","","","","","","","","","","","","","","","","EVENTOUT"
"21","PE8","I/O","SDADC2_AIN8P","","","EVENTOUT","","","","","","","","","","","","","",""
"22","PE9","I/O","SDADC2_AIN7P","","","EVENTOUT","","","","","","","","","","","","","",""
"23","VSSSD/VREFSD-","Power","","","","","","","","","","","","","","","","","",""
"24","VDDSD","Power","","","","","","","","","","","","","","","","","",""
"25","VREFSD+","Power","","","","","","","","","","","","","","","","","",""
"26","PB14","I/O","SDADC3_AIN8P","","","TIM15_CH1","","TSC_G6_IO1","","I2S2_MCK/SPI2_MISO","","USART3_DE/USART3_RTS","","TIM12_CH1","","","","","","EVENTOUT"
"27","PB15","I/O","TIM12_CH2","","RTC_REFIN","TIM15_CH2","TIM15_CH1N","TSC_G6_IO2","","I2S2_SD/SPI2_MOSI","","","","TIM12_CH2","","","","","","EVENTOUT"
"28","PD8","Input","GPIO_Input","","","EVENTOUT","","TSC_G6_IO3","","I2S2_CK/SPI2_SCK","","USART3_TX","","","","","","","",""
"29","PA8","I/O","TIM5_CH1","","RCC_MCO","","TIM5_CH1/TIM5_ETR","","I2C2_SMBA","I2S2_CK/SPI2_SCK","","USART1_CK","","","TIM4_ETR","","","","","EVENTOUT"
"30","PA9","I/O","USART1_TX","","","","TIM13_CH1","TSC_G4_IO1","I2C2_SCL","I2S2_MCK/SPI2_MISO","","USART1_TX","","TIM15_BKIN","TIM2_CH3","","","","","EVENTOUT"
"31","PA10","I/O","USART1_RX","","","TIM17_BKIN","","TSC_G4_IO2","I2C2_SDA","I2S2_SD/SPI2_MOSI","","USART1_RX","","TIM14_CH1","TIM2_CH4","","","","","EVENTOUT"
"32","PA11","I/O","USB_DM","","","","TIM5_CH2","","","I2S2_WS/SPI2_NSS","I2S1_WS/SPI1_NSS","USART1_CTS","COMP1_OUT","CAN_RX","TIM4_CH1","","","","USB_DM","EVENTOUT"
"33","PA12","I/O","USB_DP","","","TIM16_CH1","TIM5_CH3","","","","I2S1_CK/SPI1_SCK","USART1_DE/USART1_RTS","COMP2_OUT","CAN_TX","TIM4_CH2","","","","USB_DP","EVENTOUT"
"34","PA13","I/O","SYS_JTMS-SWDIO","","SYS_JTMS-SWDIO","TIM16_CH1N","TIM5_CH4","TSC_G4_IO3","","IR_OUT","I2S1_MCK/SPI1_MISO","USART3_CTS","","","TIM4_CH3","","","","","EVENTOUT"
"35","PF6","I/O","I2C2_SCL","","","EVENTOUT","TIM4_CH4","","I2C2_SCL","I2S1_SD/SPI1_MOSI","","USART3_DE/USART3_RTS","","","","","","","",""
"36","PF7","I/O","I2C2_SDA","","","EVENTOUT","","","I2C2_SDA","","","USART2_CK","","","","","","","",""
"37","PA14","I/O","SYS_JTCK-SWCLK","","SYS_JTCK-SWCLK","","","TSC_G4_IO4","I2C1_SDA","","","","","","TIM12_CH1","","","","","EVENTOUT"
"38","PA15","I/O","TIM2_CH1","","SYS_JTDI","TIM2_CH1/TIM2_ETR","","TSC_SYNC","I2C1_SCL","I2S1_WS/SPI1_NSS","I2S3_WS/SPI3_NSS","","","","TIM12_CH2","","","","","EVENTOUT"
"39","PB3","I/O","TIM2_CH2","","SYS_JTDO-TRACESWO","TIM2_CH2","TIM4_ETR","TSC_G5_IO1","","I2S1_CK/SPI1_SCK","I2S3_CK/SPI3_SCK","USART2_TX","","TIM13_CH1","TIM3_ETR","","","","","EVENTOUT"
"40","PB4","I/O","TIM3_CH1","","SYS_NJTRST","TIM16_CH1","TIM3_CH1","TSC_G5_IO2","","I2S1_MCK/SPI1_MISO","I2S3_MCK/SPI3_MISO","USART2_RX","","TIM15_CH1N","TIM17_BKIN","","","","","EVENTOUT"
"41","PB5","I/O","TIM3_CH2","","","TIM16_BKIN","TIM3_CH2","","I2C1_SMBA","I2S1_SD/SPI1_MOSI","I2S3_SD/SPI3_MOSI","USART2_CK","","","TIM17_CH1","TIM19_ETR","","","","EVENTOUT"
"42","PB6","I/O","TIM3_CH3","","","TIM16_CH1N","TIM4_CH1","TSC_G5_IO3","I2C1_SCL","","","USART1_TX","","TIM15_CH1","TIM3_CH3","TIM19_CH1","","","","EVENTOUT"
"43","PB7","I/O","TIM3_CH4","","","TIM17_CH1N","TIM4_CH2","TSC_G5_IO4","I2C1_SDA","","","USART1_RX","","TIM15_CH2","TIM3_CH4","TIM19_CH2","","","","EVENTOUT"
"44","BOOT0","Boot","","","","","","","","","","","","","","","","","",""
"45","PB8","I/O","I2C1_SCL","","","TIM16_CH1","TIM4_CH3","TSC_SYNC","I2C1_SCL","I2S2_CK/SPI2_SCK","CEC","USART3_TX","COMP1_OUT","CAN_RX","","TIM19_CH3","","","","EVENTOUT"
"46","PB9","I/O","I2C1_SDA","","","TIM17_CH1","TIM4_CH4","","I2C1_SDA","I2S2_WS/SPI2_NSS","IR_OUT","USART3_RX","COMP2_OUT","CAN_TX","","TIM19_CH4","","","","EVENTOUT"
"47","VSS","Power","","","","","","","","","","","","","","","","","",""
"48","VDD","Power","","","","","","","","","","","","","","","","","",""
